Matricula;Nome;1T_N1;1T_N2;1T_N3;2T_N1;2T_N2;2T_N3;3T_N1;3T_N2;3T_N3;
201801266;Aldonça Pardo;9.83;7.19;7.22;5.61;7.83;9.58;5.13;8.03;9.49;
201801267;Bruna Saltão;5.74;5.46;9.13;9.01;8.03;7.57;5.54;5.49;5.7;
201801268;Celestina Quental;5.15;7.67;7.61;7.63;6.97;6.19;9.22;5.4;9.38;
201801269;Dalila Amaral;6.5;7.45;7.07;8.03;9.94;5.17;9.92;6.67;9.45;
201801270;Dinis Cesário;6.65;7.22;6.01;7.73;9.57;8.74;5.06;6.43;7.62;
201801271;Eusébio Valim;7.97;6.56;6.98;6.18;5.32;6.75;5.68;8.93;6.19;
201801272;Fabíola Vellozo;7.72;9.12;5.29;5.99;8.43;9.72;8.2;5.1;7.56;
201801273;Florinda Amado;6.33;7.96;6.54;8.32;9.84;6.09;6.82;6.3;5.56;
201801274;Gui Gameiro;8.96;6.42;7.5;5.81;8.0;5.97;8.94;9.42;7.96;
201801275;Humberto Amaral;6.52;9.09;8.11;6.26;8.48;9.82;9.54;9.85;7.86;
201801276;Isadora Moura;5.35;6.7;6.68;6.0;7.45;9.53;6.43;9.66;8.75;
201801277;Isidro Valle;6.4;9.87;7.57;8.82;5.57;7.71;6.6;9.65;5.17;
201801278;Ludovico Villena;8.73;6.57;8.74;9.31;7.5;6.43;9.06;7.94;9.89;
201801279;Mécia Villegas;6.91;6.04;8.61;9.26;9.93;6.53;9.85;8.16;9.05;
201801280;Parcidio Viveros;9.77;8.24;9.13;7.08;9.42;8.94;9.1;7.4;9.57;
201801281;Rafael Vilaverde;8.69;9.77;8.99;5.88;9.64;6.43;7.11;5.96;7.57;
201801282;Raimundo Esparteiro;9.42;6.75;5.29;9.79;6.78;9.25;7.15;9.29;7.21;
201801283;Salomé Lameira;9.4;6.05;9.83;6.05;5.01;5.65;5.13;6.75;9.65;
201801284;Urânia Tibiriçá;7.04;9.4;7.4;5.34;8.89;6.75;6.47;7.07;5.01;
201801285;Zoraide Guerra;7.68;7.51;9.17;9.34;7.67;6.26;9.74;6.72;5.01;
