Cliente;CPF;Nascimento;Telefone;
Abílio Anhaia;24586462934;19/07/1966;4240-5659;
Alvito Quirós;96085541764;13/09/1962;4989-4615;
Américo Ornellas;11946660783;09/11/1959;4272-3713;
Anna Calheiros;26431823987;22/05/1992;4322-2020;
Antônio Acevedo;17779131762;22/04/1978;4907-2340;
Aníbal Onofre;80154213557;14/05/1956;4264-2737;
Beatriz Vásquez;88743646933;09/06/1967;4948-1939;
Branco Areosa;78025264870;28/07/1965;4587-7695;
Caetano Covilhã;42350093221;30/08/1965;4856-2352;
Caio Telinhos;55966899275;23/10/1976;4778-3767;
Carlota Lencastre;74523681776;05/09/1986;4723-5733;
Daniela Temes;82046922346;13/08/1963;4911-5615;
Deise Campello;50247611412;27/10/1988;4498-5322;
Delfim Vellozo;19668335595;26/08/1966;4279-3530;
Dinis Ourique;08030100072;10/10/1986;4138-0337;
Diogo Lessa;67821812519;22/03/1961;4440-6890;
Diogo Zagallo;88208229635;01/11/1961;4618-2441;
Eduarda Fidalgo;57925295024;11/05/1981;4984-7521;
Elba Gorjão;91918394971;24/01/1971;4586-8509;
Emiliana Canela;93931453409;31/05/1961;4217-5147;
Fulvio Velázquez;63644846799;07/01/1958;4573-9371;
Gerson Varanda;71854987461;22/05/1973;4548-4868;
Gertrudes Cidreira;07389177354;17/06/1984;4593-2727;
Hermesinda Paixão;56838398453;24/09/1986;4523-8633;
Israel Vasques;97719882702;28/02/1964;4997-5805;
Joel Mendonça;02139586107;19/06/1981;4878-1797;
Juliano Felgueiras;96351167068;15/12/1959;4350-2428;
Jéssica Zambujal;78547512937;07/08/1968;4658-7751;
Leandro Baião;65110302160;26/04/1965;4569-6625;
Leonel Corvelo;18052233782;26/01/1993;4415-0439;
Mariana Cintra;30567516131;22/01/1994;4046-8106;
Melissa Junqueira;46006465962;27/10/1970;4803-1456;
Melissa Vilaverde;72722377669;12/07/1990;4597-2727;
Mileide Cardozo;87991870614;13/01/1983;4345-1486;
Milu Faro;27142458483;08/10/1959;4050-8182;
Murici Zagalo;97703545525;01/05/1957;4519-8724;
Mécia Nieves;81056949963;01/02/1962;4522-5583;
Neuza Sesimbra;75577195949;27/02/1982;4047-2352;
Odete Téllez;87156289875;01/11/1975;4110-2679;
Ofélia Sanches;42016791270;07/03/1955;4369-7330;
Paraguaçu Falcão;39985210850;20/11/1979;4268-9280;
Piedade Valim;18461090191;18/08/1987;4818-3273;
Querubina Pinho;00451241114;21/07/1974;4050-1800;
Rosana Cesário;47404327458;16/03/1990;4253-8390;
Serafim Pinhal;20889507323;04/11/1983;4854-7265;
Susana Viveros;78296607646;03/01/1975;4354-5984;
Tibúrcio Cesário;69860420494;24/05/1971;4475-8903;
Tércio Conceição;36847657006;21/11/1979;4601-0325;
Ximena Sousa;02206847287;22/08/1970;4061-3074;
Ângela Moreno;81313765337;10/02/1969;4740-6954;
